iter	F1	Logloss
0	0.4796298427	0.5581625749
1	0.489811579	0.4765323352
2	0.4799907613	0.4094395378
3	0.5197973836	0.3634263801
4	0.5141993282	0.3222959883
5	0.5004154342	0.2969110288
6	0.5160001741	0.2758622304
7	0.5259721587	0.2595213391
8	0.5387811045	0.2413827727
9	0.5344934209	0.2323154465
10	0.5369353181	0.2210548323
11	0.5530358451	0.2068819454
12	0.5567098825	0.1995015046
13	0.5649871906	0.1950414723
14	0.571869776	0.1892118171
15	0.5917649032	0.1814585495
16	0.621657168	0.1706380129
17	0.6381408178	0.1651233889
18	0.6519869813	0.1580424838
19	0.6634002551	0.1541624841
20	0.6919028499	0.1466314663
21	0.6943291482	0.144872959
22	0.6971175627	0.1425650013
23	0.7124163779	0.1385584284
24	0.7206544697	0.132135852
25	0.7481858579	0.1261924528
26	0.7533492112	0.1212430146
27	0.7676547088	0.1171461934
28	0.7724389142	0.1156692465
29	0.7870575022	0.1121652177
30	0.8019901211	0.1087017745
31	0.8033619457	0.1077700676
32	0.8180897421	0.1034801884
33	0.8209502327	0.1020981924
34	0.8236728284	0.1008817166
35	0.8249675086	0.1002378379
36	0.8305375191	0.09894139642
37	0.8354039431	0.09668104693
38	0.8371456728	0.09585925312
39	0.8386200188	0.09515769184
40	0.8492980866	0.0927679018
41	0.8536010796	0.09140855374
42	0.8562823014	0.09001638727
43	0.8571624072	0.08951972457
44	0.8615248288	0.08812833076
45	0.8616953619	0.08765983626
46	0.8673680405	0.08648726537
47	0.8679309216	0.08590070661
48	0.8691836528	0.08533500267
49	0.8704959777	0.08484164136
50	0.8708147982	0.08441943189
51	0.8717925633	0.08405903786
52	0.8750715368	0.08314743425
53	0.8771375777	0.08240198171
54	0.880122413	0.08109800601
55	0.8806849897	0.08084841432
56	0.8823417983	0.08005877911
57	0.8831382855	0.07963971806
58	0.8836603636	0.07936594149
59	0.884233247	0.07906721526
60	0.8853865648	0.07851164648
61	0.8881446901	0.07763752571
62	0.8883888489	0.07748271486
63	0.88875838	0.07719961465
64	0.8894598127	0.07676059466
65	0.8899392303	0.07648909051
66	0.8932623957	0.07568824025
67	0.8940924734	0.07528561861
68	0.894909127	0.07490547772
69	0.8954046791	0.07462504588
70	0.8960612933	0.07419921386
71	0.897226682	0.0737704221
72	0.89809911	0.07334985501
73	0.8988492622	0.07268085098
74	0.8995785592	0.0723378587
75	0.8997234659	0.07226542593
76	0.9014788039	0.07178661046
77	0.9018684424	0.07159694463
78	0.9024574463	0.07132902017
79	0.9036575365	0.07093731886
80	0.9040290318	0.0706572693
81	0.9044361889	0.07043570649
82	0.9054766558	0.0698587277
83	0.9054939296	0.06957654007
84	0.905685093	0.06942291624
85	0.905888131	0.06929427807
86	0.9068958372	0.06859214258
87	0.9071881745	0.06841215463
88	0.907271558	0.06822586022
89	0.9077715917	0.06804588653
90	0.9086394477	0.06768418252
91	0.9087524089	0.06755082623
92	0.9092808182	0.06731332735
93	0.9098324995	0.06712610552
94	0.9101170023	0.0668758242
95	0.9104724222	0.06656793566
96	0.9107329161	0.06643660145
97	0.9107503749	0.06631251357
98	0.9112708791	0.06611704264
99	0.9119680476	0.06552764892
100	0.9120979295	0.06536709436
101	0.9124519951	0.06521631155
102	0.9129708747	0.06499679997
103	0.9130062348	0.06490412212
104	0.9132823932	0.0647846047
105	0.9135128106	0.06471130958
106	0.9143550362	0.06380444721
107	0.9151423315	0.06346421082
108	0.9152480006	0.06325638146
109	0.9155414179	0.06295635409
110	0.9157173921	0.0628675563
111	0.9157267527	0.06269250791
112	0.9162704245	0.06237637188
113	0.9163641079	0.06227880935
114	0.9165982456	0.06217086539
115	0.916645061	0.06204869796
116	0.9170077431	0.06192190432
117	0.9176272504	0.06172545387
118	0.9180709894	0.06156349078
119	0.9179701828	0.06153160929
120	0.9182035851	0.06138460832
121	0.9182152526	0.06129154248
122	0.918735916	0.06110218349
123	0.9189999246	0.06080099314
124	0.9192602811	0.06067217301
