iter	Passed	Remaining
0	360	44707
1	681	41931
2	1031	41959
3	1364	41266
4	1708	41005
5	2034	40349
6	2340	39459
7	2653	38812
8	2957	38118
9	3257	37455
10	3566	36964
11	3864	36388
12	4201	36199
13	4518	35827
14	4842	35512
15	5154	35114
16	5455	34659
17	5797	34463
18	6115	34116
19	6476	33999
20	6803	33692
21	7147	33465
22	7478	33165
23	7793	32795
24	8092	32369
25	8385	31929
26	8694	31556
27	9010	31214
28	9337	30909
29	9650	30561
30	9972	30238
31	10284	29889
32	10595	29537
33	10913	29210
34	11252	28935
35	11555	28568
36	11884	28265
37	12190	27910
38	12530	27630
39	12849	27305
40	13087	26813
41	13377	26437
42	13718	26160
43	14007	25787
44	14309	25438
45	14605	25082
46	14918	24757
47	15244	24454
48	15560	24133
49	15880	23821
50	16234	23556
51	16561	23249
52	16902	22961
53	17229	22653
54	17539	22322
55	17856	22001
56	18179	21687
57	18520	21394
58	18833	21067
59	19131	20726
60	19426	20382
61	19738	20057
62	20040	19722
63	20368	19414
64	20696	19104
65	21033	18802
66	21328	18463
67	21652	18150
68	21962	17824
69	22256	17486
70	22556	17155
71	22885	16846
72	23196	16523
73	23515	16206
74	23846	15897
75	24172	15584
76	24490	15266
77	24833	14963
78	25165	14653
79	25455	14318
80	25782	14005
81	26099	13686
82	26415	13366
83	26780	13071
84	27088	12747
85	27450	12448
86	27759	12124
87	28074	11804
88	28410	11491
89	28744	11178
90	29077	10864
91	29401	10546
92	29726	10228
93	30049	9909
94	30392	9597
95	30722	9280
96	31026	8956
97	31332	8632
98	31667	8316
99	31988	7997
100	32308	7677
101	32661	7364
102	32984	7045
103	33296	6723
104	33638	6407
105	33984	6091
106	34301	5770
107	34646	5453
108	34986	5135
109	35304	4814
110	35641	4495
111	35987	4177
112	36310	3856
113	36637	3535
114	36917	3210
115	37233	2888
116	37582	2569
117	37891	2247
118	38234	1927
119	38538	1605
120	38885	1285
121	39196	963
122	39511	642
123	39858	321
124	40210	0
